qid,seq_no,docno,rank,score
187,10,3424781,7,0.248614
187,10,14547147,8,0.333708
187,10,10582830,9,0.336006
187,10,3699685,10,0.706627
187,10,31815960,11,0.257491
187,10,4393502,12,0.912097
187,10,2336903,13,0.390479
187,10,932532,14,0.394107
187,10,20475183,15,0.260562
187,10,5583008,16,0.917494
187,10,48932198,17,0.775704
187,10,35981916,18,0.636628
187,10,45487379,19,0.675748
187,10,6386814,20,1.479244
187,11,39681327,1,0.588843
187,11,44225499,2,0.503244
187,11,1724617,3,0.474617
187,11,12319895,4,0.585485
187,11,32403779,5,0.502915
187,11,1194886,6,1.128536
187,11,3424781,7,0.248614
187,11,14547147,8,0.333708
187,11,10582830,9,0.336006
187,11,3699685,10,0.706627
187,11,31815960,11,0.257491
187,11,4393502,12,0.912097
187,11,2336903,13,0.390479
187,11,932532,14,0.394107
187,11,20475183,15,0.260562
187,11,5583008,16,0.917494
187,11,48932198,17,0.775704
187,11,35981916,18,0.636628
187,11,45487379,19,0.675748
187,11,6386814,20,1.479244
187,12,39681327,1,0.588843
187,12,44225499,2,0.503244
187,12,1724617,3,0.474617
187,12,12319895,4,0.585485
187,12,32403779,5,0.502915
187,12,1194886,6,1.128536
187,12,3424781,7,0.248614
187,12,14547147,8,0.333708
187,12,10582830,9,0.336006
187,12,3699685,10,0.706627
187,12,31815960,11,0.257491
187,12,4393502,12,0.912097
187,12,2336903,13,0.390479
187,12,932532,14,0.394107
187,12,20475183,15,0.260562
187,12,5583008,16,0.917494
187,12,48932198,17,0.775704
187,12,35981916,18,0.636628
187,12,45487379,19,0.675748
187,12,6386814,20,1.479244
187,13,39681327,1,0.588843
187,13,44225499,2,0.503244
187,13,1724617,3,0.474617
187,13,12319895,4,0.585485
187,13,32403779,5,0.502915
187,13,1194886,6,1.128536
187,13,3424781,7,0.248614
187,13,14547147,8,0.333708
187,13,10582830,9,0.336006
187,13,3699685,10,0.706627
187,13,31815960,11,0.257491
187,13,4393502,12,0.912097
187,13,2336903,13,0.390479
187,13,932532,14,0.394107
187,13,20475183,15,0.260562
187,13,5583008,16,0.917494
187,13,48932198,17,0.775704
187,13,35981916,18,0.636628
187,13,45487379,19,0.675748
187,13,6386814,20,1.479244
187,14,39681327,1,0.588843
187,14,44225499,2,0.503244
187,14,1724617,3,0.474617
187,14,12319895,4,0.585485
187,14,32403779,5,0.502915
187,14,1194886,6,1.128536
187,14,3424781,7,0.248614
187,14,14547147,8,0.333708
187,14,10582830,9,0.336006
187,14,3699685,10,0.706627
187,14,31815960,11,0.257491
187,14,4393502,12,0.912097
187,14,2336903,13,0.390479
187,14,932532,14,0.394107
187,14,20475183,15,0.260562
187,14,5583008,16,0.917494
187,14,48932198,17,0.775704
187,14,35981916,18,0.636628
187,14,45487379,19,0.675748
187,14,6386814,20,1.479244
187,15,39681327,1,0.588843
187,15,44225499,2,0.503244
187,15,1724617,3,0.474617
187,15,12319895,4,0.585485
187,15,32403779,5,0.502915
187,15,1194886,6,1.128536
187,15,3424781,7,0.248614
187,15,14547147,8,0.333708
187,15,10582830,9,0.336006
187,15,3699685,10,0.706627
187,15,31815960,11,0.257491
187,15,4393502,12,0.912097
187,15,2336903,13,0.390479
187,15,932532,14,0.394107
187,15,20475183,15,0.260562
187,15,5583008,16,0.917494
187,15,48932198,17,0.775704
187,15,35981916,18,0.636628
187,15,45487379,19,0.675748
187,15,6386814,20,1.479244
187,16,39681327,1,0.588843
187,16,44225499,2,0.503244
187,16,1724617,3,0.474617
187,16,12319895,4,0.585485
187,16,32403779,5,0.502915
187,16,1194886,6,1.128536
187,16,3424781,7,0.248614
187,16,14547147,8,0.333708
187,16,10582830,9,0.336006
187,16,3699685,10,0.706627
187,16,31815960,11,0.257491
187,16,4393502,12,0.912097
187,16,2336903,13,0.390479
187,16,932532,14,0.394107
187,16,20475183,15,0.260562
187,16,5583008,16,0.917494
187,16,48932198,17,0.775704
187,16,35981916,18,0.636628
187,16,45487379,19,0.675748
187,16,6386814,20,1.479244
187,17,39681327,1,0.588843
187,17,44225499,2,0.503244
187,17,1724617,3,0.474617
187,17,12319895,4,0.585485
187,17,32403779,5,0.502915
187,17,1194886,6,1.128536
187,17,3424781,7,0.248614
187,17,14547147,8,0.333708
187,17,10582830,9,0.336006
187,17,3699685,10,0.706627
187,17,31815960,11,0.257491
187,17,4393502,12,0.912097
187,17,2336903,13,0.390479
187,17,932532,14,0.394107
187,17,20475183,15,0.260562
187,17,5583008,16,0.917494
187,17,48932198,17,0.775704
187,17,35981916,18,0.636628
187,17,45487379,19,0.675748
187,17,6386814,20,1.479244
187,18,39681327,1,0.588843
187,18,44225499,2,0.503244
187,18,1724617,3,0.474617
187,18,12319895,4,0.585485
187,18,32403779,5,0.502915
187,18,1194886,6,1.128536
187,18,3424781,7,0.248614
187,18,14547147,8,0.333708
187,18,10582830,9,0.336006
187,18,3699685,10,0.706627
187,18,31815960,11,0.257491
187,18,4393502,12,0.912097
187,18,2336903,13,0.390479
187,18,932532,14,0.394107
187,18,20475183,15,0.260562
187,18,5583008,16,0.917494
187,18,48932198,17,0.775704
187,18,35981916,18,0.636628
187,18,45487379,19,0.675748
187,18,6386814,20,1.479244
187,19,39681327,1,0.588843
187,19,44225499,2,0.503244
187,19,1724617,3,0.474617
187,19,12319895,4,0.585485
187,19,32403779,5,0.502915
187,19,1194886,6,1.128536
187,19,3424781,7,0.248614
187,19,14547147,8,0.333708
187,19,10582830,9,0.336006
187,19,3699685,10,0.706627
187,19,31815960,11,0.257491
187,19,4393502,12,0.912097
187,19,2336903,13,0.390479
187,19,932532,14,0.394107
187,19,20475183,15,0.260562
187,19,5583008,16,0.917494
187,19,48932198,17,0.775704
187,19,35981916,18,0.636628
187,19,45487379,19,0.675748
187,19,6386814,20,1.479244
187,20,39681327,1,0.588843
187,20,44225499,2,0.503244
187,20,1724617,3,0.474617
187,20,12319895,4,0.585485
187,20,32403779,5,0.502915
187,20,1194886,6,1.128536
187,20,3424781,7,0.248614
187,20,14547147,8,0.333708
187,20,10582830,9,0.336006
187,20,3699685,10,0.706627
187,20,31815960,11,0.257491
187,20,4393502,12,0.912097
187,20,2336903,13,0.390479
187,20,932532,14,0.394107
187,20,20475183,15,0.260562
187,20,5583008,16,0.917494
187,20,48932198,17,0.775704
187,20,35981916,18,0.636628
187,20,45487379,19,0.675748
187,20,6386814,20,1.479244
187,21,39681327,1,0.588843
187,21,44225499,2,0.503244
187,21,1724617,3,0.474617
187,21,12319895,4,0.585485
187,21,32403779,5,0.502915
187,21,1194886,6,1.128536
187,21,3424781,7,0.248614
187,21,14547147,8,0.333708
187,21,10582830,9,0.336006
187,21,3699685,10,0.706627
187,21,31815960,11,0.257491
187,21,4393502,12,0.912097
187,21,2336903,13,0.390479
187,21,932532,14,0.394107
187,21,20475183,15,0.260562
187,21,5583008,16,0.917494
187,21,48932198,17,0.775704
187,21,35981916,18,0.636628
187,21,45487379,19,0.675748
187,21,6386814,20,1.479244
187,22,39681327,1,0.588843
187,22,44225499,2,0.503244
187,22,1724617,3,0.474617
187,22,12319895,4,0.585485
187,22,32403779,5,0.502915
187,22,1194886,6,1.128536
187,22,3424781,7,0.248614
187,22,14547147,8,0.333708
187,22,10582830,9,0.336006
187,22,3699685,10,0.706627
187,22,31815960,11,0.257491
187,22,4393502,12,0.912097
187,22,2336903,13,0.390479
187,22,932532,14,0.394107
187,22,20475183,15,0.260562
187,22,5583008,16,0.917494
187,22,48932198,17,0.775704
187,22,35981916,18,0.636628
187,22,45487379,19,0.675748
187,22,6386814,20,1.479244
187,23,39681327,1,0.588843
187,23,44225499,2,0.503244
187,23,1724617,3,0.474617
187,23,12319895,4,0.585485
187,23,32403779,5,0.502915
187,23,1194886,6,1.128536
187,23,3424781,7,0.248614
187,23,14547147,8,0.333708
187,23,10582830,9,0.336006
187,23,3699685,10,0.706627
187,23,31815960,11,0.257491
187,23,4393502,12,0.912097
187,23,2336903,13,0.390479
187,23,932532,14,0.394107
187,23,20475183,15,0.260562
187,23,5583008,16,0.917494
187,23,48932198,17,0.775704
187,23,35981916,18,0.636628
187,23,45487379,19,0.675748
187,23,6386814,20,1.479244
187,24,39681327,1,0.588843
187,24,44225499,2,0.503244
187,24,1724617,3,0.474617
187,24,12319895,4,0.585485
187,24,32403779,5,0.502915
187,24,1194886,6,1.128536
187,24,3424781,7,0.248614
187,24,14547147,8,0.333708
187,24,10582830,9,0.336006
187,24,3699685,10,0.706627
187,24,31815960,11,0.257491
187,24,4393502,12,0.912097
187,24,2336903,13,0.390479
187,24,932532,14,0.394107
187,24,20475183,15,0.260562
187,24,5583008,16,0.917494
187,24,48932198,17,0.775704
187,24,35981916,18,0.636628
187,24,45487379,19,0.675748
187,24,6386814,20,1.479244
187,25,39681327,1,0.588843
187,25,44225499,2,0.503244
187,25,1724617,3,0.474617
187,25,12319895,4,0.585485
187,25,32403779,5,0.502915
187,25,1194886,6,1.128536
187,25,3424781,7,0.248614
187,25,14547147,8,0.333708
187,25,10582830,9,0.336006
187,25,3699685,10,0.706627
187,25,31815960,11,0.257491
187,25,4393502,12,0.912097
187,25,2336903,13,0.390479
187,25,932532,14,0.394107
187,25,20475183,15,0.260562
187,25,5583008,16,0.917494
187,25,48932198,17,0.775704
187,25,35981916,18,0.636628
187,25,45487379,19,0.675748
187,25,6386814,20,1.479244
187,26,39681327,1,0.588843
187,26,44225499,2,0.503244
187,26,1724617,3,0.474617
187,26,12319895,4,0.585485
187,26,32403779,5,0.502915
187,26,1194886,6,1.128536
187,26,3424781,7,0.248614
187,26,14547147,8,0.333708
187,26,10582830,9,0.336006
187,26,3699685,10,0.706627
187,26,31815960,11,0.257491
187,26,4393502,12,0.912097
187,26,2336903,13,0.390479
187,26,932532,14,0.394107
187,26,20475183,15,0.260562
187,26,5583008,16,0.917494
187,26,48932198,17,0.775704
187,26,35981916,18,0.636628
187,26,45487379,19,0.675748
187,26,6386814,20,1.479244
187,27,39681327,1,0.588843
187,27,44225499,2,0.503244
187,27,1724617,3,0.474617
187,27,12319895,4,0.585485
187,27,32403779,5,0.502915
187,27,1194886,6,1.128536
187,27,3424781,7,0.248614
187,27,14547147,8,0.333708
187,27,10582830,9,0.336006
187,27,3699685,10,0.706627
187,27,31815960,11,0.257491
187,27,4393502,12,0.912097
187,27,2336903,13,0.390479
187,27,932532,14,0.394107
187,27,20475183,15,0.260562
187,27,5583008,16,0.917494
187,27,48932198,17,0.775704
187,27,35981916,18,0.636628
187,27,45487379,19,0.675748
187,27,6386814,20,1.479244
187,28,39681327,1,0.588843
187,28,44225499,2,0.503244
187,28,1724617,3,0.474617
187,28,12319895,4,0.585485
187,28,32403779,5,0.502915
187,28,1194886,6,1.128536
187,28,3424781,7,0.248614
187,28,14547147,8,0.333708
187,28,10582830,9,0.336006
187,28,3699685,10,0.706627
187,28,31815960,11,0.257491
187,28,4393502,12,0.912097
187,28,2336903,13,0.390479
187,28,932532,14,0.394107
187,28,20475183,15,0.260562
187,28,5583008,16,0.917494
187,28,48932198,17,0.775704
187,28,35981916,18,0.636628
187,28,45487379,19,0.675748
187,28,6386814,20,1.479244
187,29,39681327,1,0.588843
187,29,44225499,2,0.503244
187,29,1724617,3,0.474617
187,29,12319895,4,0.585485
187,29,32403779,5,0.502915
187,29,1194886,6,1.128536
187,29,3424781,7,0.248614
187,29,14547147,8,0.333708
187,29,10582830,9,0.336006
187,29,3699685,10,0.706627
187,29,31815960,11,0.257491
187,29,4393502,12,0.912097
187,29,2336903,13,0.390479
187,29,932532,14,0.394107
187,29,20475183,15,0.260562
187,29,5583008,16,0.917494
187,29,48932198,17,0.775704
187,29,35981916,18,0.636628
187,29,45487379,19,0.675748
187,29,6386814,20,1.479244
187,30,39681327,1,0.588843
187,30,44225499,2,0.503244
187,30,1724617,3,0.474617
187,30,12319895,4,0.585485
187,30,32403779,5,0.502915
187,30,1194886,6,1.128536
187,30,3424781,7,0.248614
187,30,14547147,8,0.333708
187,30,10582830,9,0.336006
187,30,3699685,10,0.706627
187,30,31815960,11,0.257491
187,30,4393502,12,0.912097
187,30,2336903,13,0.390479
187,30,932532,14,0.394107
187,30,20475183,15,0.260562
187,30,5583008,16,0.917494
187,30,48932198,17,0.775704
187,30,35981916,18,0.636628
187,30,45487379,19,0.675748
187,30,6386814,20,1.479244
187,31,39681327,1,0.588843
187,31,44225499,2,0.503244
187,31,1724617,3,0.474617
187,31,12319895,4,0.585485
187,31,32403779,5,0.502915
187,31,1194886,6,1.128536
187,31,3424781,7,0.248614
187,31,14547147,8,0.333708
187,31,10582830,9,0.336006
187,31,3699685,10,0.706627
187,31,31815960,11,0.257491
187,31,4393502,12,0.912097
187,31,2336903,13,0.390479
187,31,932532,14,0.394107
187,31,20475183,15,0.260562
187,31,5583008,16,0.917494
187,31,48932198,17,0.775704
187,31,35981916,18,0.636628
187,31,45487379,19,0.675748
187,31,6386814,20,1.479244
187,32,39681327,1,0.588843
187,32,44225499,2,0.503244
187,32,1724617,3,0.474617
187,32,12319895,4,0.585485
187,32,32403779,5,0.502915
187,32,1194886,6,1.128536
187,32,3424781,7,0.248614
187,32,14547147,8,0.333708
187,32,10582830,9,0.336006
187,32,3699685,10,0.706627
187,32,31815960,11,0.257491
187,32,4393502,12,0.912097
187,32,2336903,13,0.390479
187,32,932532,14,0.394107
187,32,20475183,15,0.260562
187,32,5583008,16,0.917494
187,32,48932198,17,0.775704
187,32,35981916,18,0.636628
187,32,45487379,19,0.675748
187,32,6386814,20,1.479244
187,33,39681327,1,0.588843
187,33,44225499,2,0.503244
187,33,1724617,3,0.474617
187,33,12319895,4,0.585485
187,33,32403779,5,0.502915
187,33,1194886,6,1.128536
187,33,3424781,7,0.248614
187,33,14547147,8,0.333708
187,33,10582830,9,0.336006
187,33,3699685,10,0.706627
187,33,31815960,11,0.257491
187,33,4393502,12,0.912097
187,33,2336903,13,0.390479
187,33,932532,14,0.394107
187,33,20475183,15,0.260562
187,33,5583008,16,0.917494
187,33,48932198,17,0.775704
187,33,35981916,18,0.636628
187,33,45487379,19,0.675748
187,33,6386814,20,1.479244
187,34,39681327,1,0.588843
187,34,44225499,2,0.503244
187,34,1724617,3,0.474617
187,34,12319895,4,0.585485
187,34,32403779,5,0.502915
187,34,1194886,6,1.128536
187,34,3424781,7,0.248614
187,34,14547147,8,0.333708
187,34,10582830,9,0.336006
187,34,3699685,10,0.706627
187,34,31815960,11,0.257491
187,34,4393502,12,0.912097
187,34,2336903,13,0.390479
187,34,932532,14,0.394107
187,34,20475183,15,0.260562
187,34,5583008,16,0.917494
187,34,48932198,17,0.775704
187,34,35981916,18,0.636628
187,34,45487379,19,0.675748
187,34,6386814,20,1.479244
187,35,39681327,1,0.588843
187,35,44225499,2,0.503244
187,35,1724617,3,0.474617
187,35,12319895,4,0.585485
187,35,32403779,5,0.502915
187,35,1194886,6,1.128536
187,35,3424781,7,0.248614
187,35,14547147,8,0.333708
187,35,10582830,9,0.336006
187,35,3699685,10,0.706627
187,35,31815960,11,0.257491
187,35,4393502,12,0.912097
187,35,2336903,13,0.390479
187,35,932532,14,0.394107
187,35,20475183,15,0.260562
187,35,5583008,16,0.917494
187,35,48932198,17,0.775704
187,35,35981916,18,0.636628
187,35,45487379,19,0.675748
187,35,6386814,20,1.479244
187,36,39681327,1,0.588843
187,36,44225499,2,0.503244
187,36,1724617,3,0.474617
187,36,12319895,4,0.585485
187,36,32403779,5,0.502915
187,36,1194886,6,1.128536
187,36,3424781,7,0.248614
187,36,14547147,8,0.333708
187,36,10582830,9,0.336006
187,36,3699685,10,0.706627
187,36,31815960,11,0.257491
187,36,4393502,12,0.912097
187,36,2336903,13,0.390479
187,36,932532,14,0.394107
187,36,20475183,15,0.260562
187,36,5583008,16,0.917494
187,36,48932198,17,0.775704
187,36,35981916,18,0.636628
187,36,45487379,19,0.675748
187,36,6386814,20,1.479244
187,37,39681327,1,0.588843
187,37,44225499,2,0.503244
187,37,1724617,3,0.474617
187,37,12319895,4,0.585485
187,37,32403779,5,0.502915
187,37,1194886,6,1.128536
187,37,3424781,7,0.248614
187,37,14547147,8,0.333708
187,37,10582830,9,0.336006
187,37,3699685,10,0.706627
187,37,31815960,11,0.257491
187,37,4393502,12,0.912097
187,37,2336903,13,0.390479
187,37,932532,14,0.394107
187,37,20475183,15,0.260562
187,37,5583008,16,0.917494
187,37,48932198,17,0.775704
187,37,35981916,18,0.636628
187,37,45487379,19,0.675748
187,37,6386814,20,1.479244
187,38,39681327,1,0.588843
187,38,44225499,2,0.503244
187,38,1724617,3,0.474617
187,38,12319895,4,0.585485
187,38,32403779,5,0.502915
187,38,1194886,6,1.128536
187,38,3424781,7,0.248614
187,38,14547147,8,0.333708
187,38,10582830,9,0.336006
187,38,3699685,10,0.706627
187,38,31815960,11,0.257491
187,38,4393502,12,0.912097
187,38,2336903,13,0.390479
187,38,932532,14,0.394107
187,38,20475183,15,0.260562
187,38,5583008,16,0.917494
187,38,48932198,17,0.775704
187,38,35981916,18,0.636628
187,38,45487379,19,0.675748
187,38,6386814,20,1.479244
187,39,39681327,1,0.588843
187,39,44225499,2,0.503244
187,39,1724617,3,0.474617
187,39,12319895,4,0.585485
187,39,32403779,5,0.502915
187,39,1194886,6,1.128536
187,39,3424781,7,0.248614
187,39,14547147,8,0.333708
187,39,10582830,9,0.336006
187,39,3699685,10,0.706627
187,39,31815960,11,0.257491
187,39,4393502,12,0.912097
187,39,2336903,13,0.390479
187,39,932532,14,0.394107
187,39,20475183,15,0.260562
187,39,5583008,16,0.917494
187,39,48932198,17,0.775704
187,39,35981916,18,0.636628
187,39,45487379,19,0.675748
187,39,6386814,20,1.479244
187,40,39681327,1,0.588843
187,40,44225499,2,0.503244
187,40,1724617,3,0.474617
187,40,12319895,4,0.585485
187,40,32403779,5,0.502915
187,40,1194886,6,1.128536
187,40,3424781,7,0.248614
187,40,14547147,8,0.333708
187,40,10582830,9,0.336006
187,40,3699685,10,0.706627
187,40,31815960,11,0.257491
187,40,4393502,12,0.912097
187,40,2336903,13,0.390479
187,40,932532,14,0.394107
187,40,20475183,15,0.260562
187,40,5583008,16,0.917494
187,40,48932198,17,0.775704
187,40,35981916,18,0.636628
187,40,45487379,19,0.675748
187,40,6386814,20,1.479244
187,41,39681327,1,0.588843
187,41,44225499,2,0.503244
187,41,1724617,3,0.474617
187,41,12319895,4,0.585485
187,41,32403779,5,0.502915
187,41,1194886,6,1.128536
187,41,3424781,7,0.248614
187,41,14547147,8,0.333708
187,41,10582830,9,0.336006
187,41,3699685,10,0.706627
187,41,31815960,11,0.257491
187,41,4393502,12,0.912097
187,41,2336903,13,0.390479
187,41,932532,14,0.394107
187,41,20475183,15,0.260562
187,41,5583008,16,0.917494
187,41,48932198,17,0.775704
187,41,35981916,18,0.636628
187,41,45487379,19,0.675748
187,41,6386814,20,1.479244
187,42,39681327,1,0.588843
187,42,44225499,2,0.503244
187,42,1724617,3,0.474617
187,42,12319895,4,0.585485
187,42,32403779,5,0.502915
187,42,1194886,6,1.128536
187,42,3424781,7,0.248614
187,42,14547147,8,0.333708
187,42,10582830,9,0.336006
187,42,3699685,10,0.706627
187,42,31815960,11,0.257491
187,42,4393502,12,0.912097
187,42,2336903,13,0.390479
187,42,932532,14,0.394107
187,42,20475183,15,0.260562
187,42,5583008,16,0.917494
187,42,48932198,17,0.775704
187,42,35981916,18,0.636628
187,42,45487379,19,0.675748
187,42,6386814,20,1.479244
187,43,39681327,1,0.588843
187,43,44225499,2,0.503244
187,43,1724617,3,0.474617
187,43,12319895,4,0.585485
187,43,32403779,5,0.502915
187,43,1194886,6,1.128536
187,43,3424781,7,0.248614
187,43,14547147,8,0.333708
187,43,10582830,9,0.336006
187,43,3699685,10,0.706627
187,43,31815960,11,0.257491
187,43,4393502,12,0.912097
187,43,2336903,13,0.390479
187,43,932532,14,0.394107
187,43,20475183,15,0.260562
187,43,5583008,16,0.917494
187,43,48932198,17,0.775704
187,43,35981916,18,0.636628
187,43,45487379,19,0.675748
187,43,6386814,20,1.479244
187,44,39681327,1,0.588843
187,44,44225499,2,0.503244
187,44,1724617,3,0.474617
187,44,12319895,4,0.585485
187,44,32403779,5,0.502915
187,44,1194886,6,1.128536
187,44,3424781,7,0.248614
187,44,14547147,8,0.333708
187,44,10582830,9,0.336006
187,44,3699685,10,0.706627
187,44,31815960,11,0.257491
187,44,4393502,12,0.912097
187,44,2336903,13,0.390479
187,44,932532,14,0.394107
187,44,20475183,15,0.260562
187,44,5583008,16,0.917494
187,44,48932198,17,0.775704
187,44,35981916,18,0.636628
187,44,45487379,19,0.675748
187,44,6386814,20,1.479244
187,45,39681327,1,0.588843
187,45,44225499,2,0.503244
187,45,1724617,3,0.474617
187,45,12319895,4,0.585485
187,45,32403779,5,0.502915
187,45,1194886,6,1.128536
187,45,3424781,7,0.248614
187,45,14547147,8,0.333708
187,45,10582830,9,0.336006
187,45,3699685,10,0.706627
187,45,31815960,11,0.257491
187,45,4393502,12,0.912097
187,45,2336903,13,0.390479
187,45,932532,14,0.394107
187,45,20475183,15,0.260562
187,45,5583008,16,0.917494
187,45,48932198,17,0.775704
187,45,35981916,18,0.636628
187,45,45487379,19,0.675748
187,45,6386814,20,1.479244
187,46,39681327,1,0.588843
187,46,44225499,2,0.503244
187,46,1724617,3,0.474617
187,46,12319895,4,0.585485
187,46,32403779,5,0.502915
187,46,1194886,6,1.128536
187,46,3424781,7,0.248614
187,46,14547147,8,0.333708
187,46,10582830,9,0.336006
187,46,3699685,10,0.706627
187,46,31815960,11,0.257491
187,46,4393502,12,0.912097
187,46,2336903,13,0.390479
187,46,932532,14,0.394107
187,46,20475183,15,0.260562
187,46,5583008,16,0.917494
187,46,48932198,17,0.775704
187,46,35981916,18,0.636628
187,46,45487379,19,0.675748
187,46,6386814,20,1.479244
187,47,39681327,1,0.588843
187,47,44225499,2,0.503244
187,47,1724617,3,0.474617
187,47,12319895,4,0.585485
187,47,32403779,5,0.502915
187,47,1194886,6,1.128536
187,47,3424781,7,0.248614
187,47,14547147,8,0.333708
187,47,10582830,9,0.336006
187,47,3699685,10,0.706627
187,47,31815960,11,0.257491
187,47,4393502,12,0.912097
